q_id,question,question_type,difficulty,ref_answer,ref_evidence,ref_file,ref_page
Q0001,IPAの「DX動向 2025」において、DXを推進する人材が不足していると回答した日本企業の割合は何パーセントですか？,answerable,simple,日本企業の85.1%が、DXを推進する人材が不足している（「やや不足している」「大幅に不足している」の合計）と回答しています。,「DX 動向 2025」によれば日本企業の 85.1%で DX を推進する人材が不足していることが示され,AI時代のデジタル人材育成.pdf,1
Q0002,世界経済フォーラム（WEF）の「仕事の未来レポート 2025」では、2025年から2030年の間に世界の雇用構造にどのような変化が起きると予測されていますか？,answerable,reasoning,現在の総雇用の14%に相当する新規雇用が創出される一方で、8%に相当する雇用が失われ、結果として現在の総雇用の22%に相当する大規模な雇用構造の変化が予測されています。,2025 年から 2030 年の間に現在の総雇用の 14%に相当する新規雇用が創出される一方で 8%に相当する雇用が失われ、結果として現在の総雇用の 22%に相当する大規模な雇用構造の変化が予測されている。,AI時代のデジタル人材育成.pdf,7
Q0003,日本企業における人材育成の現状について、リクルートワークス研究所の調査に基づき、OJTの実施割合と自己啓発の実施状況の他国との比較を説明してください。,answerable,multi_chunk,日本は、OJTを受けた割合および自分の意志で仕事に関わる知識・技術の向上に取り組んだ自己啓発の割合のいずれにおいても、調査対象国（日本、独、仏、英、米、中、スウェーデン）の中で最も低い水準にあります。,OJT を受けた割合は、日本は調査対象国（日本、ドイツ、フランス、英国、米国、中国、スウェーデン）の中で最も低い。また、個人による学習の取組についても、日本が調査対象国の中で最も低い。,AI時代のデジタル人材育成.pdf,"5,6"
Q0004,札幌AIラボが運営する「札幌 AI 道場」で実施されているPBL（Project-Based Learning）の具体的な仕組みと、2022年8月以降の支援実績について述べてください。,answerable,reasoning,"北海道大学発のAIベンチャー等が師範役となり、AI人材育成を希望する地域のIT企業と、課題・データを提供する企業をマッチングして1年間のPBLを実施する仕組みです。2022年8月の開設以降、累計1,000人を超えるスキルアップを支援しています。","AI 研究開発のベンチャーである企業等が師範役を担い、地域の IT 企業と、課題提供企業とをマッチングして 1 年間の PBLを実施する。2022 年 8 月の開設以降、累計 1,000 人を超える",AI時代のデジタル人材育成.pdf,11
Q0005,「AI-Enabled Information and Communication Technology Workforce Consortium」が掲げている、2030年までに達成すべき具体的なAI開発予算の目標額はいくらですか？,unanswerable,N/A,,,AI時代のデジタル人材育成.pdf,
Q0006,北海道大学の川村秀憲教授が指摘する、AIの進歩によってITエンジニアに求められるようになる「AIに代替されにくいスキル」とは具体的に何ですか？,answerable,simple,AIには本質的に理解できない「人間の感性」に関わる要素や、「上位概念をデザインしていくスキル」が求められると指摘しています。,今後の IT エンジニアには AI に代替されにくい人間の感性や上位概念のデザイン力が求められると指摘する。,AI時代のデジタル人材育成.pdf,1
Q0007,IPAの「DX動向2024」調査において、中堅企業におけるIT分野の見識がある役員が「いない」企業の割合は、大企業と比較してどのような傾向にありますか。,answerable,simple,中堅企業においてIT分野の見識がある役員が「いない」割合は26.9%であり、大企業の14.8%と比較して2倍近い（2倍弱）水準となっています。,IT 分野に見識がある役員が「いない」割合が大企業の 2 倍近くになっている。/ 図表 8 より中堅企業は 26.9%、大企業は 14.8%。,DX動向2024-中堅企業のDXの取組についての考察.pdf,10
Q0008,本報告書において、従業員規模による企業の分類として「中堅企業」および「大企業」はそれぞれ何人と定義されていますか。,answerable,simple,「中堅企業」は従業員数101人以上1000人以下の企業、「大企業」は1001人以上の企業と定義されています。,101 人以上 1000 人以下の企業を「中堅企業」、1001 人以上の企業を「大企業」と呼ぶこととする,DX動向2024-中堅企業のDXの取組についての考察.pdf,3
Q0009,「DX動向2024」の分析に基づき、中堅企業がDXの上位段階の成果を得るために、デジタル以前から取り組むべき課題として挙げられていることは何ですか。,answerable,reasoning,ビジネスモデルの変革や企業文化・組織マインドの変革といった上位の成果を得るためには、デジタル以前から取り組むべき「企業文化の改革」が課題として挙げられています。,ビジネスモデルの変革や企業文化・組織マインドの変革といった上位の DX の取組における成果が十分に得られない一因と推察される。デジタル以前から取組むべき企業文化の改革も課題である。,DX動向2024-中堅企業のDXの取組についての考察.pdf,12
Q0010,中堅企業のDX推進において、2022年度調査と2023年度調査の日本国内における取組割合の変化と、米国企業（2022年度）との比較について述べてください。,answerable,multi_chunk,中堅企業のDX取組割合は、2022年度の72.8%から2023年度には85.6%に伸びており、2022年度調査の米国中堅企業の割合（95.1%）に近づくことが期待される状況です。,中堅企業の取組割合も 72.8%から 85.6%に伸びており、今後、大企業レベルに近づくことが期待される。/ 図表1 2022年度米国(n=182) 95.1,DX動向2024-中堅企業のDXの取組についての考察.pdf,4
Q0011,中堅企業がDXを推進する人材を確保する際、社内人材の育成・活用が困難になっている背景には、どのような業務環境の課題が関係していると推察されていますか。,answerable,multi_chunk,仕事に余裕がなく、各部署の業務量や人員の調整が難しいため、社内教育のための時間を作り出すことが容易でないことが、デジタルリテラシー向上の取組を妨げ、結果として社内人材の育成を難しくしています。,仕事に余裕がなく、従業員のデジタルリテラシーの向上の取組が進まず、その結果、社内の人材の育成・活用が難しいことが推察された。/ 各部署の業務量や人員を調整して社内教育のための時間を作り出すことが容易でない,DX動向2024-中堅企業のDXの取組についての考察.pdf,"1,10"
