q_id,question,question_type,difficulty,ref_answer,ref_evidence,ref_file,ref_page
Q0001,アサヒグループの2025年Q3累計実績における、酒税抜きでの事業利益率は何パーセントですか？,answerable,simple,2025年Q3累計実績の酒税抜き事業利益率は11.8%です。,事業利益率（酒税抜き） 2025年Q3累計 11.8%,アサヒ_2025年12月期 第３四半期決算補足資料 .pdf,2
Q0002,アサヒグループの2025年業績予想において、親会社の所有者に帰属する当期利益は2024年実績と比較して何億円減少すると見込まれていますか？,answerable,reasoning,"246億円減少すると見込まれています（2025年予想1,675億円、2024年実績1,921億円）。","親会社の所有者に帰属する当期利益 2025年予想 1,675 2024年 1,921 前年比 △ 246",アサヒ_2025年12月期 第３四半期決算補足資料 .pdf,6
Q0003,アサヒグループの2025年Q3累計実績における「欧州」セグメントの売上収益と、2025年通期予想における同セグメントの売上収益をそれぞれ教えてください。,answerable,multi_chunk,"2025年Q3累計実績では5,826億円、2025年通期予想では7,486億円です。","（実績）欧州 2025年Q3累計 5,826 （予想）欧州 2025年予想 7,486",アサヒ_2025年12月期 第３四半期決算補足資料 .pdf,"3, 7"
Q0004,アサヒグループが2025年度中に実施を予定している、具体的なM&A案件の名称とその買収金額はいくらですか？,unanswerable,N/A,,,アサヒ_2025年12月期 第３四半期決算補足資料 .pdf,
Q0005,"アサヒグループの2025年業績予想における設備投資額（1,785億円）から、2025年Q3累計実績の設備投資額（780億円）を差し引いた、第4四半期単体での投資予定額はいくらになりますか？",answerable,multi_chunk,"1,005億円です（通期予想1,785億円 - Q3累計実績780億円）。","（実績）設備投資 2025年Q3累計 780 （予想）設備投資 2025年予想 1,785",アサヒ_2025年12月期 第３四半期決算補足資料 .pdf,"4, 8"
Q0006,インフロニア・ホールディングスの26年3月期第3四半期（FY25 3Q）実績において、売上高は何億円でしたか？,answerable,simple,"7,686億円です。","FY25 3Qは、売上高7,686億円、事業利益663億円、EBITDA975億円、当期利益515億円",インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,3
Q0007,インフロニア・ホールディングスの2026年2月10日修正計画におけるFY25通期の当期利益予想は、期首計画の545億円からどのように変化しましたか？,answerable,reasoning,期首計画の545億円から、2026年2月10日の修正計画では600億円へと上方修正されています。,"FY25通期計画を売上高1兆1,300億円、事業利益773億円、EBITDA1,203億円、当期利益600億円に修正。",インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,3
Q0008,インフロニア・ホールディングスのFY25 3Q実績における「土木」セグメントの事業利益は、前年同期（FY24 3Q）と比較して何億円増加しましたか？,answerable,reasoning,57億円増加しました（FY24 3Qの103億円からFY25 3Qの160億円へ増加）。,事業利益 土木 FY24 3Q実績 103、FY25 3Q実績 160、前年同期比 57,インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,6
Q0009,インフロニア・ホールディングスが2026年2月10日に発表した修正後の年間配当予定額の内訳（中間配当と期末配当）を教えてください。,answerable,multi_chunk,年間配当金は92円で、その内訳は中間配当30円、期末配当62円です。,通期配当予定金額を85円から92円に修正（中間30円・期末62円）,インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,3
Q0010,インフロニア・ホールディングスの2026年2月9日時点の株価最高値は何円で、2025年4月1日の期首時点株価と比較して何倍になっていますか？,answerable,multi_chunk,"最高値は2,654.5円で、期首時点株価（1,199円）から約2.2倍に向上しています。","最高値 2,654.5円(2026年2月9日) 株価は期首時点株価から約2.2倍に向上 期首時点株価 1,199円(2025年4月1日)",インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,9
Q0011,インフロニア・ホールディングスの2027年3月期における売上高予想および具体的な受注目標金額はいくらですか？,unanswerable,N/A,,,インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,
Q0012,エプコの2025年12月期連結決算において、税引き後の純利益が前年比で29.9%増益となった主な要因は何ですか。,answerable,reasoning,政策保有株式の一部売却による投資有価証券売却益62百万円の計上と、持分法適用会社であったバンハオエプコの持分譲渡に伴う関係会社株式売却益12百万円が発生したことが主な要因です。,純利益の増加要因としましては、第１四半期にて当社が保有する政策保有株式の一部を売却し、投資有価証券売却益として 62 百万円が計上されたことに加え、第２四半期におきまして当社の持分法適用会社であった,エプコ_2025年12月期本決算 経営計画説明会 説明内容書き起こし資料 .pdf,4
Q0013,エプコグループの2025年12月期におけるセグメント別の売上高のうち、再エネサービス事業の数値はいくらですか。,answerable,simple,21億3百万円です。,再エネサービス事業では、売上高は前期比+52.5%の 21 億 3 百万円で、経常利益は前期比+38.9％の 2 億 58 百万円と、大きく業績を伸ばすことができました。,エプコ_2025年12月期本決算 経営計画説明会 説明内容書き起こし資料 .pdf,5
Q0014,エプコが2025年12月期に実施した「3円の記念配当」は何の節目を記念したものですか。,answerable,simple,当社の設立35周年を記念したものです。,昨年は当社の設立 35 周年ということで、3 円の記念配当を発表させていただきました。,エプコ_2025年12月期本決算 経営計画説明会 説明内容書き起こし資料 .pdf,26
