file_name,file_title,file_url,file_pages
03_01_議事要旨（PDF形式：375KB）.pdf,03_01_議事要旨（PDF形式：375KB）,NULL,6
03_02_議事要旨（PDF形式：406KB）.pdf,03_02_議事要旨（PDF形式：406KB）,NULL,6
03_03_議事要旨（PDF形式：427KB）.pdf,03_03_議事要旨（PDF形式：427KB）,NULL,8
03_04_議事要旨（PDF形式：427KB）2.pdf,03_04_議事要旨（PDF形式：427KB）2,NULL,8
03_05_資料1　議事次第・配布資料一覧.pdf,03_05_資料1　議事次第・配布資料一覧,NULL,1
03_06_資料1　議事次第・配布資料一覧（PDF形式：58KB）.pdf,03_06_資料1　議事次第・配布資料一覧（PDF形式：58KB）,NULL,2
03_07_資料1　議事次第・配布資料一覧（PDF形式：61KB）.pdf,03_07_資料1　議事次第・配布資料一覧（PDF形式：61KB）,NULL,1
03_08_資料1　議事次第・配布資料一覧（PDF形式：67KB）.pdf,03_08_資料1　議事次第・配布資料一覧（PDF形式：67KB）,NULL,2
03_09_資料1　議事次第・配布資料一覧（PDF形式：69KB）.pdf,03_09_資料1　議事次第・配布資料一覧（PDF形式：69KB）,NULL,1
03_10_資料2　AI利活用における民事責任の在り方に関する研究会の開催 について（PDF形式：112KB）.pdf,03_10_資料2　AI利活用における民事責任の在り方に関する研究会の開催 について（PDF形式：112KB）,NULL,2
03_11_資料2　構成員等名簿（PDF形式：87KB）.pdf,03_11_資料2　構成員等名簿（PDF形式：87KB）,NULL,2
03_12_資料2　構成員等名簿（PDF形式：87KB）2.pdf,03_12_資料2　構成員等名簿（PDF形式：87KB）2,NULL,1
03_13_資料2　構成員等名簿（PDF形式：96KB）.pdf,03_13_資料2　構成員等名簿（PDF形式：96KB）,NULL,2
"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf","03_14_資料3　事務局説明資料（PDF形式：1,338KB）",NULL,20
"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf","03_15_資料3　事務局説明資料（PDF形式：2,122KB）",NULL,0
03_16_資料3　事務局説明資料（PDF形式：623KB）.pdf,03_16_資料3　事務局説明資料（PDF形式：623KB）,NULL,10
03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,03_17_資料3　事務局説明資料（PDF形式：998KB）,NULL,37
